,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
37,Программист Python,https://ekaterinburg.hh.ru/vacancy/55338839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,122000,0,руб.
38,Data Engineer,https://ekaterinburg.hh.ru/vacancy/54751848?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
39,"Fullstack-разработчик (Python, JS)",https://ekaterinburg.hh.ru/vacancy/66819485?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,100000,130000,руб.
40,Python-разработчик (внутренние проекты),https://ekaterinburg.hh.ru/vacancy/66889051?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
41,Data Engineer,https://ekaterinburg.hh.ru/vacancy/67039410?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,160000,0,руб.
42,Middle Django разработчик,https://ekaterinburg.hh.ru/vacancy/66973689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,40000,40000,руб.
43,Senior Automation QA (Python),https://ekaterinburg.hh.ru/vacancy/46953808?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
44,Разработчик SQL,https://ekaterinburg.hh.ru/vacancy/66997803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
45,Python разработчик в Yandex Pay,https://ekaterinburg.hh.ru/vacancy/54767567?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
46,Стажер-аналитик,https://ekaterinburg.hh.ru/vacancy/66067427?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
47,Python разработчик в группу финансовой инфраструктуры,https://ekaterinburg.hh.ru/vacancy/66702616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
48,Python-разработчик в Английский от Практикума,https://ekaterinburg.hh.ru/vacancy/55543895?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
49,Senior Python Developer (remote),https://ekaterinburg.hh.ru/vacancy/55012554?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,250000,0,руб.
50,FullStack QA Engineer (Python),https://ekaterinburg.hh.ru/vacancy/66955863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
51,Аналитик данных (Data analyst),https://ekaterinburg.hh.ru/vacancy/66919783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
52,Senior Python-разработчик (команда финансового ассистента Олега),https://ekaterinburg.hh.ru/vacancy/66934335?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
53,Разработчик ETL,https://ekaterinburg.hh.ru/vacancy/48958803?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
54,Data Engineer Data Office,https://ekaterinburg.hh.ru/vacancy/66695824?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,4000,0,EUR
55,Дата инженер по визуализации данных,https://ekaterinburg.hh.ru/vacancy/66962625?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
56,Аналитик данных,https://ekaterinburg.hh.ru/vacancy/66726558?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
57,Ведущий инженер по информационной безопасности,https://ekaterinburg.hh.ru/vacancy/67350079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
58,Бэкенд-разработчик (PHP и Python),https://ekaterinburg.hh.ru/vacancy/66651000?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
59,Аналитик данных (Data analyst),https://ekaterinburg.hh.ru/vacancy/67098209?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
60,Аналитик данных (Data analyst),https://ekaterinburg.hh.ru/vacancy/66736075?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
61,Data Engineer,https://ekaterinburg.hh.ru/vacancy/48958973?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
62,Data engineer / Data analyst,https://ekaterinburg.hh.ru/vacancy/66147838?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
63,Тестировщик / Специалист по ручному тестированию,https://ekaterinburg.hh.ru/vacancy/67410976?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
64,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/67034942?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,30000,60000,руб.
65,"Python-разработчик (Django, DRF)",https://ekaterinburg.hh.ru/vacancy/66896793?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,50000,200000,руб.
66,QA Automation engineer,https://ekaterinburg.hh.ru/vacancy/43670261?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,100000,0,руб.
67,Инженер-программист (Отдел информационных ресурсов),https://ekaterinburg.hh.ru/vacancy/55137616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,34000,0,руб.
68,DevSecOps specialist,https://ekaterinburg.hh.ru/vacancy/55182029?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
69,"Старший инженер по автоматизации тестирования, Golang, back-end, Ozon Bank",https://ekaterinburg.hh.ru/vacancy/66819549?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
70,Системный аналитик внедрения (Middle),https://ekaterinburg.hh.ru/vacancy/66795250?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
71,Инженер по внедрению программного обеспечения,https://ekaterinburg.hh.ru/vacancy/67447936?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,50000,0,руб.
72,Специалист 3 линии поддержки продукта Naumen Service Desk,https://ekaterinburg.hh.ru/vacancy/67412502?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
73,Data-аналитик по ценообразованию,https://ekaterinburg.hh.ru/vacancy/66824202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
74,Middle QA Engineer,https://ekaterinburg.hh.ru/vacancy/51857862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
75,Groovy/Java разработчик,https://ekaterinburg.hh.ru/vacancy/67023198?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
76,"Руководитель группы прогнозирования (Data science), Ozon Fresh",https://ekaterinburg.hh.ru/vacancy/66725921?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
77,DevOps инженер (Junior/Middle/Senior),https://ekaterinburg.hh.ru/vacancy/67437412?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
78,DevOps-инженер,https://ekaterinburg.hh.ru/vacancy/66818300?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
79,Cистемный аналитик BI (интеграционный проект),https://ekaterinburg.hh.ru/vacancy/66707581?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
80,Программист (начинающий специалист),https://ekaterinburg.hh.ru/vacancy/66615196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,35000,0,руб.
